OrderID,Date,CustomerID,Region,ProductName,Category,Quantity,UnitPrice,TotalAmount,OrderStatus,SalesAgent
ORD00001,2025-06-08,CUST5566,East,Jacket,Clothing,19,1799.03,34181.57,Cancelled,Alice
ORD00002,2025-02-15,CUST5143,South,Coffee,Groceries,7,677.1,4739.7,Cancelled,Hannah
ORD00003,2025-09-20,CUST7702,West,Desk,Furniture,6,1883.1,11298.6,Cancelled,Catherine
ORD00004,2025-06-09,CUST3417,East,Coffee,Groceries,18,490.56,8830.08,Cancelled,Brian
ORD00005,2025-08-12,CUST5696,North,Headphones,Electronics,20,205.36,4107.2,Returned,Fiona
ORD00006,2025-12-31,CUST2269,East,Sofa,Furniture,13,681.8,8863.4,Cancelled,Brian
ORD00007,2025-02-08,CUST6890,East,Jeans,Clothing,6,881.57,5289.42,Completed,Alice
ORD00008,2025-08-29,CUST6265,South,Tablet,Electronics,5,1840.2,9201.0,Cancelled,Hannah
ORD00009,2025-04-23,CUST2442,South,Cabinet,Furniture,3,1568.73,4706.19,Returned,George
ORD00010,2025-09-28,CUST7700,South,T-Shirt,Clothing,13,1420.81,18470.53,Completed,George
ORD00011,2025-06-27,CUST5246,North,Milk Pack,Groceries,8,743.47,5947.76,Completed,Ethan
ORD00012,2025-04-02,CUST2395,North,Tablet,Electronics,15,1480.2,22203.0,Returned,Fiona
ORD00013,2025-03-22,CUST1855,South,Tablet,Electronics,17,537.29,9133.93,Returned,George
ORD00014,2025-04-16,CUST6493,East,Laptop,Electronics,16,735.34,11765.44,Cancelled,Brian
ORD00015,2025-08-20,CUST9135,North,Sofa,Furniture,3,1342.96,4028.88,Completed,Ethan
ORD00016,2025-10-29,CUST1033,South,Jacket,Clothing,3,447.69,1343.07,Returned,Hannah
ORD00017,2025-02-24,CUST7339,East,Jeans,Clothing,18,1382.68,24888.24,Completed,Brian
ORD00018,2025-02-02,CUST5726,South,Chair,Furniture,13,911.19,11845.47,Returned,Hannah
ORD00019,2025-06-13,CUST3580,South,Smartphone,Electronics,7,955.79,6690.53,Cancelled,George
ORD00020,2025-10-24,CUST7175,East,Sneakers,Clothing,5,1311.03,6555.15,Returned,Brian
ORD00021,2025-07-05,CUST7404,West,Sofa,Furniture,9,1103.32,9929.88,Cancelled,David
ORD00022,2025-07-26,CUST8738,East,Cooking Oil,Groceries,9,1875.7,16881.3,Completed,Alice
ORD00023,2025-07-09,CUST3960,East,Smartphone,Electronics,6,413.97,2483.82,Cancelled,Alice
ORD00024,2025-11-01,CUST4206,North,Rice Bag,Groceries,17,1005.01,17085.17,Cancelled,Fiona
ORD00025,2025-11-07,CUST1374,South,Chair,Furniture,3,1875.84,5627.52,Cancelled,Hannah
ORD00026,2025-12-17,CUST7377,North,Rice Bag,Groceries,10,1975.15,19751.5,Returned,Ethan
