"Month";"Region";"TotalSales"
"2025-01";"East";"134306.31"
"2025-01";"North";"96422.22"
"2025-01";"South";"119902.48"
"2025-01";"West";"118439.91"
"2025-02";"East";"152576.52"
"2025-02";"North";"35946.51"
"2025-02";"South";"72115.05"
"2025-02";"West";"138277.61"
"2025-03";"East";"72974.07"
"2025-03";"North";"119364.29"
"2025-03";"South";"82340.18"
"2025-03";"West";"113653.99"
"2025-04";"East";"84604.25"
"2025-04";"North";"207751.20"
"2025-04";"South";"103941.91"
"2025-04";"West";"53601.03"
"2025-05";"East";"93630.83"
"2025-05";"North";"115285.02"
"2025-05";"South";"38036.60"
"2025-05";"West";"67746.39"
"2025-06";"East";"125002.63"
"2025-06";"North";"89093.83"
"2025-06";"South";"109057.88"
"2025-06";"West";"37743.73"
"2025-07";"East";"122581.05"
"2025-07";"North";"157615.37"
"2025-07";"South";"134800.82"
"2025-07";"West";"34815.71"
"2025-08";"East";"87848.73"
"2025-08";"North";"171337.55"
"2025-08";"South";"156024.27"
"2025-08";"West";"83760.70"
"2025-09";"East";"173484.84"
"2025-09";"North";"139512.61"
"2025-09";"South";"129946.46"
"2025-09";"West";"199653.79"
"2025-10";"East";"156972.02"
"2025-10";"North";"62029.58"
"2025-10";"South";"101854.79"
"2025-10";"West";"74580.76"
"2025-11";"East";"64968.12"
"2025-11";"North";"116388.04"
"2025-11";"South";"151059.61"
"2025-11";"West";"99246.61"
"2025-12";"East";"134791.01"
"2025-12";"North";"135131.23"
"2025-12";"South";"90036.08"
"2025-12";"West";"106060.04"
