"Region";"ProductName";"RevenueLoss"
"South";"Tablet";"140152.65"
"East";"Desk";"135370.16"
"West";"Cooking Oil";"123192.49"
"South";"Cooking Oil";"115878.01"
"West";"Headphones";"115295.41"
"North";"Sneakers";"113574.19"
"North";"Smartphone";"107239.51"
"East";"Sofa";"104148.51"
"South";"Coffee";"95916.54"
"North";"Tablet";"95671.27"
"South";"Chair";"89775.15"
"North";"Jeans";"89466.00"
"East";"Milk Pack";"85318.61"
"East";"Laptop";"83630.06"
"East";"Coffee";"77987.57"
"North";"Rice Bag";"77455.99"
"South";"Sofa";"77000.39"
"South";"Desk";"76330.08"
"South";"Headphones";"75038.06"
"West";"Milk Pack";"75026.89"
"East";"Tablet";"73565.40"
"North";"Cooking Oil";"71347.99"
"West";"Desk";"70880.36"
"South";"Rice Bag";"69614.40"
"North";"T-Shirt";"68991.37"
"South";"Milk Pack";"65875.69"
"West";"Sofa";"63421.19"
"East";"T-Shirt";"60742.42"
"West";"Laptop";"60723.84"
"East";"Jacket";"59024.87"
"South";"Smartphone";"58485.90"
"East";"Cabinet";"56906.29"
"North";"Jacket";"56568.39"
"West";"T-Shirt";"56373.43"
"West";"Smartphone";"55861.77"
"North";"Headphones";"52982.22"
"North";"Coffee";"51014.29"
"East";"Sneakers";"44773.69"
"North";"Desk";"44427.92"
"North";"Cabinet";"44002.32"
"East";"Cooking Oil";"43194.22"
"West";"Jeans";"39176.66"
"South";"Cabinet";"37218.11"
"South";"Jacket";"33198.07"
"West";"Cabinet";"32926.15"
"South";"Sneakers";"32465.85"
"West";"Tablet";"28258.70"
"West";"Coffee";"28036.63"
"West";"Rice Bag";"27985.67"
"East";"Jeans";"27275.24"
"East";"Headphones";"24806.67"
"West";"Chair";"20289.05"
"South";"Jeans";"19097.52"
"East";"Rice Bag";"16499.69"
"South";"Laptop";"14946.08"
"West";"Sneakers";"14521.32"
"East";"Chair";"14096.19"
"West";"Jacket";"13919.48"
"North";"Laptop";"13557.63"
"North";"Chair";"12112.11"
"East";"Smartphone";"9528.18"
"North";"Milk Pack";"8278.33"
